date,fuel,generation
2017-09-01,WOO,69813.872
2017-09-01,WWW,3288799.156
2017-10-01,COL,89202174.211
2017-10-01,DFO,407107.401
2017-10-01,GEO,1208690.286
2017-10-01,HYC,17698090.071
2017-10-01,MLG,1491655.785
2017-10-01,NG,106928045.57
2017-10-01,NUC,65994785.0
2017-10-01,OOG,998166.553
2017-10-01,ORW,237554.136
2017-10-01,OTH,1034103.323
2017-10-01,PC,572036.178
2017-10-01,RFO,510463.383
2017-10-01,SUN,4638717.899
2017-10-01,WND,24364701.172
2017-10-01,WOC,588823.866
2017-10-01,WOO,65865.942
2017-10-01,WWW,3300886.7090000003
2017-11-01,COL,90450644.129
2017-11-01,DFO,408889.169
2017-11-01,GEO,1298832.857
2017-11-01,HYC,19888257.657
2017-11-01,MLG,1535206.162
2017-11-01,NG,95060625.458
2017-11-01,NUC,66637947.0
2017-11-01,OOG,1001041.054
2017-11-01,ORW,271007.671
2017-11-01,OTH,1083770.144
2017-11-01,PC,755231.2170000001
2017-11-01,RFO,437143.948
2017-11-01,SUN,3201627.436
2017-11-01,WND,22611846.392
2017-11-01,WOC,560211.971
2017-11-01,WOO,83675.854
2017-11-01,WWW,3423320.931
2017-12-01,COL,105629864.206
2017-12-01,DFO,901230.568
2017-12-01,GEO,1374759.2820000001
2017-12-01,HYC,22247705.099
2017-12-01,MLG,1621271.47
2017-12-01,NG,111193006.409
2017-12-01,NUC,73699572.0
2017-12-01,OOG,1095023.782
2017-12-01,ORW,276204.80700000003
2017-12-01,OTH,1150495.831
2017-12-01,PC,737121.665
2017-12-01,RFO,917061.81
2017-12-01,SUN,3020596.83
2017-12-01,WND,22198259.828
2017-12-01,WOC,922454.588
2017-12-01,WOO,142967.62600000002
2017-12-01,WWW,3732318.15
2018-01-01,COL,118279667.782
2018-01-01,DFO,3055615.709
2018-01-01,GEO,1341307.424
2018-01-01,HYC,25064836.405
2018-01-01,MLG,1552334.643
2018-01-01,NG,110473935.609
2018-01-01,NUC,74649040.0
2018-01-01,OOG,1097161.574
2018-01-01,ORW,264908.213
2018-01-01,OTH,1121652.917
2018-01-01,PC,964597.866
2018-01-01,RFO,2183381.634
2018-01-01,SUN,3318975.2060000002
2018-01-01,WND,25598822.202
2018-01-01,WOC,1026056.426
2018-01-01,WOO,322818.74
2018-01-01,WWW,3686742.6689999998
2018-02-01,COL,81317683.117
2018-02-01,DFO,349020.519
2018-02-01,GEO,1274092.576
2018-02-01,HYC,24902801.791
2018-02-01,MLG,1465033.458
2018-02-01,NG,98734104.447
2018-02-01,NUC,64790030.0
2018-02-01,OOG,1093004.296
2018-02-01,ORW,251308.351
2018-02-01,OTH,1004630.994
2018-02-01,PC,753699.549
2018-02-01,RFO,398597.707
2018-02-01,SUN,3896414.084
2018-02-01,WND,23189489.239
2018-02-01,WOC,753270.046
2018-02-01,WOO,69244.856
2018-02-01,WWW,3236978.657
2018-03-01,COL,79820684.545
