date,fuel,generation
2017-01-01,HPS,-870732.0
2017-01-01,HYC,53254820.316
2017-01-01,MLG,3231833.624
2017-01-01,NG,190801052.844
2017-01-01,NUC,146241224.0
2017-01-01,OOG,2093127.7959999999
2017-01-01,ORW,562948.55
2017-01-01,OTH,2170308.382
2017-01-01,PC,1887725.81
2017-01-01,RFO,1016191.5819999999
2017-01-01,SUN,4620921.96
2017-01-01,WND,41589456.788
2017-01-01,WOC,1826928.148
2017-01-01,WOO,183285.096
2017-01-01,WWW,6996730.63
2017-02-01,COL,172017967.382
2017-02-01,DFO,751073.006
2017-02-01,GEO,2466617.536
2017-02-01,HPS,-1015822.0
2017-02-01,HYC,47758667.116
2017-02-01,MLG,2879904.592
2017-02-01,NG,165621853.624
2017-02-01,NUC,127120742.0
2017-02-01,OOG,1955288.926
2017-02-01,ORW,514332.058
2017-02-01,OTH,1971801.908
2017-02-01,PC,1446089.354
2017-02-01,RFO,860212.378
2017-02-01,SUN,5483141.196
2017-02-01,WND,44174417.756
2017-02-01,WOC,1620197.666
2017-02-01,WOO,125831.99
2017-02-01,WWW,6354639.924
2017-03-01,COL,177016465.18
2017-03-01,DFO,890738.708
2017-03-01,GEO,2761930.908
2017-03-01,HPS,-1042070.0
2017-03-01,HYC,59225410.562
2017-03-01,MLG,3113099.314
2017-03-01,NG,190413994.718
2017-03-01,NUC,130186400.0
2017-03-01,OOG,2120495.042
2017-03-01,ORW,582038.442
2017-03-01,OTH,2108201.874
2017-03-01,PC,1398015.398
2017-03-01,RFO,880501.412
2017-03-01,SUN,8994707.028
2017-03-01,WND,51451967.482
2017-03-01,WOC,1712775.446
2017-03-01,WOO,141709.958
2017-03-01,WWW,6904254.936
2017-04-01,COL,161612879.896
2017-04-01,DFO,719860.902
2017-04-01,GEO,2670381.682
2017-04-01,HPS,-877458.0
2017-04-01,HYC,58817916.611999996
2017-04-01,MLG,2974253.556
2017-04-01,NG,177106881.748
2017-04-01,NUC,113486704.0
2017-04-01,OOG,2002720.9679999999
2017-04-01,ORW,508534.07
2017-04-01,OTH,2087620.692
2017-04-01,PC,862030.652
2017-04-01,RFO,868557.05
2017-04-01,SUN,9789112.952
2017-04-01,WND,50745543.886
2017-04-01,WOC,1057746.2719999999
2017-04-01,WOO,130888.288
2017-04-01,WWW,6247273.88
2017-05-01,COL,184297890.09
2017-05-01,DFO,861294.812
2017-05-01,GEO,2592048.926
2017-05-01,HPS,-846336.0
2017-05-01,HYC,65213094.774
2017-05-01,MLG,3167367.698
2017-05-01,NG,196137129.156
2017-05-01,NUC,122625506.0
2017-05-01,OOG,2111503.346
2017-05-01,ORW,532225.232
2017-05-01,OTH,2162286.422
2017-05-01,PC,1694163.522
2017-05-01,RFO,958719.99
2017-05-01,SUN,11541814.066
2017-05-01,WND,46123292.02
2017-05-01,WOC,1255192.714
2017-05-01,WOO,119811.014
2017-05-01,WWW,6369915.528
2017-06-01,COL,213668683.11
2017-06-01,DFO,732692.38
2017-06-01,GEO,2556006.87
2017-06-01,HPS,-1135032.0
2017-06-01,HYC,61149555.628
2017-06-01,MLG,3088704.712
2017-06-01,NG,234688244.146
2017-06-01,NUC,134021564.0
2017-06-01,OOG,1985952.262
2017-06-01,ORW,504335.83
2017-06-01,OTH,2182957.764
2017-06-01,PC,1802984.316
2017-06-01,RFO,1085448.196
2017-06-01,SUN,12200711.084
2017-06-01,WND,40273192.722
2017-06-01,WOC,1347961.196
2017-06-01,WOO,164603.17799999999
2017-06-01,WWW,6866932.878
2017-07-01,COL,253610989.96400002
2017-07-01,DFO,739232.702
2017-07-01,GEO,2733097.496
2017-07-01,HPS,-1518988.0
2017-07-01,HYC,53195555.588
2017-07-01,MLG,3127586.126
2017-07-01,NG,293548211.71
2017-07-01,NUC,142628438.0
2017-07-01,OOG,2094976.518
2017-07-01,ORW,519972.72
2017-07-01,OTH,2397703.196
2017-07-01,PC,1778852.224
2017-07-01,RFO,969305.394
2017-07-01,SUN,11112066.84
2017-07-01,WND,32230658.234
2017-07-01,WOC,1595022.566
2017-07-01,WOO,112315.766
2017-07-01,WWW,7374412.384
2017-08-01,COL,236943676.032
2017-08-01,DFO,685480.726
2017-08-01,GEO,2713761.424
2017-08-01,HPS,-1276468.0
2017-08-01,HYC,44066888.86
2017-08-01,MLG,3159045.316
2017-08-01,NG,282576148.482
2017-08-01,NUC,144768436.0
2017-08-01,OOG,2266520.4
2017-08-01,ORW,488551.27400000003
2017-08-01,OTH,2418031.826
2017-08-01,PC,1529344.836
2017-08-01,RFO,1112612.03
2017-08-01,SUN,10711629.494
2017-08-01,WND,27668329.354
2017-08-01,WOC,1620190.332
2017-08-01,WOO,138618.362
2017-08-01,WWW,7458092.326
2017-09-01,COL,192649989.184
2017-09-01,DFO,723063.034
2017-09-01,GEO,2651028.166
2017-09-01,HPS,-1212162.0
2017-09-01,HYC,38302787.798
2017-09-01,MLG,2958023.142
2017-09-01,NG,236244750.8
2017-09-01,NUC,136195836.0
2017-09-01,OOG,2118885.378
2017-09-01,ORW,447067.936
2017-09-01,OTH,2053994.088
2017-09-01,PC,1423694.496
2017-09-01,RFO,992336.306
2017-09-01,SUN,10094827.158
2017-09-01,WND,35815876.154
2017-09-01,WOC,1453208.09
2017-09-01,WOO,139627.744
2017-09-01,WWW,6577598.312
2017-10-01,COL,178373399.962
2017-10-01,DFO,795052.988
2017-10-01,GEO,2417380.572
2017-10-01,HPS,-925964.0
2017-10-01,HYC,35395642.632
2017-10-01,MLG,2981103.278
2017-10-01,NG,213778162.886
2017-10-01,NUC,131989570.0
2017-10-01,OOG,1996333.106
2017-10-01,ORW,474602.672
2017-10-01,OTH,2046735.458
2017-10-01,PC,1144072.356
2017-10-01,RFO,1019751.276
2017-10-01,SUN,9277366.13
2017-10-01,WND,48729402.344
2017-10-01,WOC,1177647.732
2017-10-01,WOO,131731.76
2017-10-01,WWW,6601773.4180000005
2017-11-01,COL,180852254.62
2017-11-01,DFO,787661.134
2017-11-01,GEO,2597665.714
2017-11-01,HPS,-956214.0
2017-11-01,HYC,39775810.578
2017-11-01,MLG,3068137.738
2017-11-01,NG,190055224.758
2017-11-01,NUC,133235706.0
2017-11-01,OOG,2002082.108
2017-11-01,ORW,541544.942
2017-11-01,OTH,2143661.046
2017-11-01,PC,1510462.4340000001
2017-11-01,RFO,874251.226
2017-11-01,SUN,6403212.062
2017-11-01,WND,45223692.784
2017-11-01,WOC,1120423.942
2017-11-01,WOO,167342.112
2017-11-01,WWW,6844978.252
2017-12-01,COL,211245823.96
2017-12-01,DFO,1771637.09
2017-12-01,GEO,2749518.5640000002
2017-12-01,HPS,-1311850.0
2017-12-01,HYC,44494836.03
2017-12-01,MLG,3240034.644
2017-12-01,NG,222308652.738
2017-12-01,NUC,147399144.0
2017-12-01,OOG,2190047.564
2017-12-01,ORW,551761.6140000001
2017-12-01,OTH,2273528.46
2017-12-01,PC,1474243.33
2017-12-01,RFO,1833839.862
2017-12-01,SUN,6041152.83
2017-12-01,WND,44396519.656
2017-12-01,WOC,1844909.176
2017-12-01,WOO,285256.77400000003
2017-12-01,WWW,7459645.076
2018-01-01,COL,236516117.022
2018-01-01,DFO,6100825.788
2018-01-01,GEO,2682614.848
2018-01-01,HPS,-1094662.0
2018-01-01,HYC,50128153.3
2018-01-01,MLG,3104047.556
2018-01-01,NG,220883964.15
2018-01-01,NUC,149298080.0
2018-01-01,OOG,2193243.804
2018-01-01,ORW,529166.826
2018-01-01,OTH,2218499.092
2018-01-01,PC,1929195.732
2018-01-01,RFO,4366763.268
2018-01-01,SUN,6637950.4120000005
2018-01-01,WND,51197644.404
2018-01-01,WOC,2052112.852
2018-01-01,WOO,643009.438
2018-01-01,WWW,7371979.3379999995
2018-02-01,COL,162593825.068
2018-02-01,DFO,675842.154
2018-02-01,GEO,2548185.152
2018-02-01,HPS,-630288.0
2018-02-01,HYC,49804515.174
2018-02-01,MLG,2930066.916
2018-02-01,NG,197350571.396
2018-02-01,NUC,129580060.0
2018-02-01,OOG,2184242.824
2018-02-01,ORW,502061.502
2018-02-01,OTH,1988559.804
2018-02-01,PC,1507399.098
2018-02-01,RFO,794223.022
2018-02-01,SUN,7792828.168
2018-02-01,WND,46378978.478
2018-02-01,WOC,1506540.092
2018-02-01,WOO,137803.096
2018-02-01,WWW,6469901.314
2018-03-01,COL,159546867.882
2018-03-01,DFO,731432.722
2018-03-01,GEO,2733506.056
2018-03-01,HPS,-979924.0
2018-03-01,HYC,51721208.02
2018-03-01,MLG,3137986.42
2018-03-01,NG,213484031.76
2018-03-01,NUC,134065312.0
2018-03-01,OOG,2316740.048
2018-03-01,ORW,505540.63
2018-03-01,OTH,2216204.35
2018-03-01,PC,1284269.638
2018-03-01,RFO,794437.368
2018-03-01,SUN,10112476.634
2018-03-01,WND,52927407.82
2018-03-01,WOC,1704457.522
2018-03-01,WOO,133540.202
2018-03-01,WWW,7094884.722
2018-04-01,COL,145592498.89
2018-04-01,DFO,796075.25
2018-04-01,GEO,2375873.272
2018-04-01,HPS,-753796.0
2018-04-01,HYC,56230309.042
2018-04-01,MLG,2973307.942
2018-04-01,NG,197343170.588
2018-04-01,NUC,118266310.0
2018-04-01,OOG,2197022.168
2018-04-01,ORW,478087.412
2018-04-01,OTH,2056127.324
2018-04-01,PC,1331561.862
2018-04-01,RFO,830114.7640000001
2018-04-01,SUN,12113453.424
2018-04-01,WND,52861714.358
2018-04-01,WOC,1099514.078
2018-04-01,WOO,118806.842
2018-04-01,WWW,6203739.784
2018-05-01,COL,169485284.17
2018-05-01,DFO,976934.212
2018-05-01,GEO,2765240.5
2018-05-01,HPS,-780166.0
2018-05-01,HYC,60888567.746
2018-05-01,MLG,3006298.65
2018-05-01,NG,231129276.66
2018-05-01,NUC,134640496.0
2018-05-01,OOG,2334528.352
2018-05-01,ORW,456824.928
2018-05-01,OTH,2139536.062
2018-05-01,PC,1033015.148
2018-05-01,RFO,955744.838
2018-05-01,SUN,13698024.61
2018-05-01,WND,47906255.32
2018-05-01,WOC,969316.226
2018-05-01,WOO,147916.096
2018-05-01,WWW,6703430.174
2018-06-01,COL,201589791.838
2018-06-01,DFO,947015.258
